experiment_name,mode,branch,family,backbone,model_name,pretrained,loss,scheduler,label_smoothing,mixup_alpha,cutmix_alpha,feature_attention,class_weighting,expert_classes,epochs,batch_size,image_size,lr,weight_decay,min_lr,seed,train_size,valid_size,test_size,best_epoch_main,best_epoch_expert,valid_acc,valid_macro_f1,test_acc,test_macro_f1,test_weighted_f1,test_expert_invocations,test_expert_changed,test_expert_corrected,test_expert_hurt,elapsed_seconds
cascade_pair_lc_sq_v2.0_pretrained_ce_b3,cascade,cascade_pair_lc_sq,v2.0_pretrained_ce,efficientnet_b3,efficientnet_b3,,,,,,,none,,"large.cell.carcinoma,squamous.cell.carcinoma",,,288,,,,,613,72,315,4,22,94.44%,0.9458,91.43%,0.9227,0.9139,1,1,0,0,14.3159
cascade_pair_lc_sq_v2.0_pretrained_ce_b4,cascade,cascade_pair_lc_sq,v2.0_pretrained_ce,efficientnet_b4,efficientnet_b4,,,,,,,none,,"large.cell.carcinoma,squamous.cell.carcinoma",,,320,,,,,613,72,315,18,7,86.11%,0.8620,82.54%,0.8484,0.8253,1,0,0,0,19.0644
v2.1_pretrained_ce_cosine,single,single,v2.1_pretrained_ce_cosine,efficientnet_b0,efficientnet_b0,True,cross_entropy,cosine,0,0,0,none,none,,25,16,224,0.0003,0.0001,0,42,613,72,315,9,,90.28%,0.9095,77.14%,0.7957,0.7623,,,,,185.8156
v2.1_pretrained_ce_cosine_b1,single,single,v2.1_pretrained_ce_cosine,efficientnet_b1,efficientnet_b1,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,240,0.0003,0.0001,0,42,613,72,315,21,,87.50%,0.8830,92.06%,0.9226,0.9204,,,,,205.6279
v2.1_pretrained_ce_cosine_b2,single,single,v2.1_pretrained_ce_cosine,efficientnet_b2,efficientnet_b2,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,256,0.0003,0.0001,0,42,613,72,315,12,,90.28%,0.9102,88.89%,0.9045,0.8880,,,,,202.0826
v2.1_pretrained_ce_cosine_b3,single,single,v2.1_pretrained_ce_cosine,efficientnet_b3,efficientnet_b3,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,288,0.0003,0.0001,0,42,613,72,315,22,,91.67%,0.9236,88.25%,0.8938,0.8821,,,,,223.6611
v2.1_pretrained_ce_cosine_b4,single,single,v2.1_pretrained_ce_cosine,efficientnet_b4,efficientnet_b4,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,320,0.0003,0.0001,0,42,613,72,315,19,,86.11%,0.8647,92.70%,0.9272,0.9273,,,,,295.512
expert_tumor3_v2.1_pretrained_ce_cosine,expert,expert_tumor3,v2.1_pretrained_ce_cosine,efficientnet_b0,efficientnet_b0,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",25,16,224,0.0003,0.0001,0,42,465,59,261,13,,88.14%,0.8816,57.09%,0.5760,0.5790,,,,,112.0458
expert_tumor3_v2.1_pretrained_ce_cosine_b1,expert,expert_tumor3,v2.1_pretrained_ce_cosine,efficientnet_b1,efficientnet_b1,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",25,16,240,0.0003,0.0001,0,42,465,59,261,16,,89.83%,0.8958,84.29%,0.8303,0.8478,,,,,158.1495
expert_tumor3_v2.1_pretrained_ce_cosine_b2,expert,expert_tumor3,v2.1_pretrained_ce_cosine,efficientnet_b2,efficientnet_b2,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",25,16,256,0.0003,0.0001,0,42,465,59,261,10,,91.53%,0.9163,77.39%,0.7697,0.7802,,,,,156.8788
expert_tumor3_v2.1_pretrained_ce_cosine_b3,expert,expert_tumor3,v2.1_pretrained_ce_cosine,efficientnet_b3,efficientnet_b3,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",25,16,288,0.0003,0.0001,0,42,465,59,261,22,,91.53%,0.9125,88.12%,0.8740,0.8821,,,,,171.5069
expert_tumor3_v2.1_pretrained_ce_cosine_b4,expert,expert_tumor3,v2.1_pretrained_ce_cosine,efficientnet_b4,efficientnet_b4,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",25,16,320,0.0003,0.0001,0,42,465,59,261,24,,86.44%,0.8628,91.19%,0.9071,0.9120,,,,,230.3214
expert_pair_ad_lc_v2.1_pretrained_ce_cosine,expert,expert_pair_ad_lc,v2.1_pretrained_ce_cosine,efficientnet_b0,efficientnet_b0,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma",25,16,224,0.0003,0.0001,0,42,310,44,171,18,,88.64%,0.8834,71.35%,0.7017,0.7256,,,,,82.4276
expert_pair_ad_lc_v2.1_pretrained_ce_cosine_b1,expert,expert_pair_ad_lc,v2.1_pretrained_ce_cosine,efficientnet_b1,efficientnet_b1,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma",25,16,240,0.0003,0.0001,0,42,310,44,171,7,,93.18%,0.9309,90.06%,0.8866,0.9027,,,,,133.4818
expert_pair_ad_lc_v2.1_pretrained_ce_cosine_b2,expert,expert_pair_ad_lc,v2.1_pretrained_ce_cosine,efficientnet_b2,efficientnet_b2,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma",25,16,256,0.0003,0.0001,0,42,310,44,171,5,,90.91%,0.9074,72.51%,0.7196,0.7355,,,,,126.3473
expert_pair_ad_lc_v2.1_pretrained_ce_cosine_b3,expert,expert_pair_ad_lc,v2.1_pretrained_ce_cosine,efficientnet_b3,efficientnet_b3,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma",25,16,288,0.0003,0.0001,0,42,310,44,171,10,,93.18%,0.9309,90.64%,0.8928,0.9082,,,,,133.2057
expert_pair_ad_lc_v2.1_pretrained_ce_cosine_b4,expert,expert_pair_ad_lc,v2.1_pretrained_ce_cosine,efficientnet_b4,efficientnet_b4,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,large.cell.carcinoma",25,16,320,0.0003,0.0001,0,42,310,44,171,14,,88.64%,0.8834,91.81%,0.9011,0.9176,,,,,175.4304
expert_pair_ad_sq_v2.1_pretrained_ce_cosine,expert,expert_pair_ad_sq,v2.1_pretrained_ce_cosine,efficientnet_b0,efficientnet_b0,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,224,0.0003,0.0001,0,42,350,38,210,10,,97.37%,0.9721,86.19%,0.8614,0.8626,,,,,88.005
expert_pair_ad_sq_v2.1_pretrained_ce_cosine_b1,expert,expert_pair_ad_sq,v2.1_pretrained_ce_cosine,efficientnet_b1,efficientnet_b1,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,240,0.0003,0.0001,0,42,350,38,210,21,,100.00%,1.0000,93.81%,0.9363,0.9378,,,,,136.7751
expert_pair_ad_sq_v2.1_pretrained_ce_cosine_b2,expert,expert_pair_ad_sq,v2.1_pretrained_ce_cosine,efficientnet_b2,efficientnet_b2,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,256,0.0003,0.0001,0,42,350,38,210,6,,100.00%,1.0000,90.95%,0.9084,0.9099,,,,,131.8786
expert_pair_ad_sq_v2.1_pretrained_ce_cosine_b3,expert,expert_pair_ad_sq,v2.1_pretrained_ce_cosine,efficientnet_b3,efficientnet_b3,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,288,0.0003,0.0001,0,42,350,38,210,10,,97.37%,0.9721,89.52%,0.8948,0.8958,,,,,143.5415
expert_pair_ad_sq_v2.1_pretrained_ce_cosine_b4,expert,expert_pair_ad_sq,v2.1_pretrained_ce_cosine,efficientnet_b4,efficientnet_b4,True,cross_entropy,cosine,0,0,0,none,none,"adenocarcinoma,squamous.cell.carcinoma",25,16,320,0.0003,0.0001,0,42,350,38,210,5,,97.37%,0.9728,90.48%,0.9037,0.9051,,,,,188.8682
expert_pair_lc_sq_v2.1_pretrained_ce_cosine,expert,expert_pair_lc_sq,v2.1_pretrained_ce_cosine,efficientnet_b0,efficientnet_b0,True,cross_entropy,cosine,0,0,0,none,none,"large.cell.carcinoma,squamous.cell.carcinoma",25,16,224,0.0003,0.0001,0,42,270,36,141,22,,91.67%,0.9161,93.62%,0.9331,0.9371,,,,,75.1121
expert_pair_lc_sq_v2.1_pretrained_ce_cosine_b1,expert,expert_pair_lc_sq,v2.1_pretrained_ce_cosine,efficientnet_b1,efficientnet_b1,True,cross_entropy,cosine,0,0,0,none,none,"large.cell.carcinoma,squamous.cell.carcinoma",25,16,240,0.0003,0.0001,0,42,270,36,141,4,,88.89%,0.8885,83.69%,0.7978,0.8224,,,,,117.6979
expert_pair_lc_sq_v2.1_pretrained_ce_cosine_b2,expert,expert_pair_lc_sq,v2.1_pretrained_ce_cosine,efficientnet_b2,efficientnet_b2,True,cross_entropy,cosine,0,0,0,none,none,"large.cell.carcinoma,squamous.cell.carcinoma",25,16,256,0.0003,0.0001,0,42,270,36,141,4,,91.67%,0.9161,96.45%,0.9621,0.9647,,,,,113.7801
expert_pair_lc_sq_v2.1_pretrained_ce_cosine_b3,expert,expert_pair_lc_sq,v2.1_pretrained_ce_cosine,efficientnet_b3,efficientnet_b3,True,cross_entropy,cosine,0,0,0,none,none,"large.cell.carcinoma,squamous.cell.carcinoma",25,16,288,0.0003,0.0001,0,42,270,36,141,8,,91.67%,0.9150,95.74%,0.9531,0.9570,,,,,123.0371
expert_pair_lc_sq_v2.1_pretrained_ce_cosine_b4,expert,expert_pair_lc_sq,v2.1_pretrained_ce_cosine,efficientnet_b4,efficientnet_b4,True,cross_entropy,cosine,0,0,0,none,none,"large.cell.carcinoma,squamous.cell.carcinoma",25,16,320,0.0003,0.0001,0,42,270,36,141,8,,88.89%,0.8875,92.20%,0.9165,0.9224,,,,,161.597
cascade_v2.1_pretrained_ce_cosine,cascade,cascade_tumor3,v2.1_pretrained_ce_cosine,efficientnet_b0,efficientnet_b0,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",,,224,,,,,613,72,315,9,13,91.67%,0.9228,77.14%,0.7937,0.7605,11,8,4,4,9.0184
cascade_v2.1_pretrained_ce_cosine_b1,cascade,cascade_tumor3,v2.1_pretrained_ce_cosine,efficientnet_b1,efficientnet_b1,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",,,240,,,,,613,72,315,21,16,88.89%,0.8951,92.06%,0.9221,0.9205,6,3,1,1,13.6091
cascade_v2.1_pretrained_ce_cosine_b2,cascade,cascade_tumor3,v2.1_pretrained_ce_cosine,efficientnet_b2,efficientnet_b2,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",,,256,,,,,613,72,315,12,10,90.28%,0.9102,88.89%,0.9034,0.8875,7,6,2,2,13.1322
